Player,eff_s1,eff_s2,eff_s3,eff_delta,trajectory_type,position,team_s3,age_s3,wage_s1,wage_s3
Alexis Mac Allister,0.1584249485764779,0.5200155069354295,0.3626685453811404,0.2042435968046625,Other,Midfielders,Liverpool,25,3022165,9241027
Alexis Saelemaekers,-0.6236710752393364,-0.0444625367200952,-0.6611829064228143,-0.037511831183477895,Other,Midfielders,Roma,25,1280000,1280000
Alexis Sánchez,0.0249267360401095,-0.4811148766176032,0.8143745951382648,0.7894478590981553,Wage Trap,Forwards,Udinese,35,5770000,2780000
Alexsandro Ribeiro,0.2635385770978153,-0.0534218967816961,-0.2294256135305339,-0.4929641906283492,Rising Star,Defenders,Lille,24,780000,910000
Alfonso Espino,-0.4397727220429956,0.0257183753129357,0.2051169529528387,0.6448896749958343,Wage Trap,Defenders,Rayo Vallecano,32,500000,580000
Alfonso Pedraza,0.2806016582931629,0.2391730839163575,0.1384167323121232,-0.1421849259810397,Other,Midfielders,Villarreal,28,2200000,2200000
Alfred Duncan,0.1525595964377188,-0.2251826556937732,0.6060054611604233,0.45344586472270454,Wage Trap,Midfielders,Venezia,31,2410000,2220000
Alisson,0.0598365632679076,0.1476867973444022,0.0512587988706467,-0.0085777643972609,Stable / Fair,Goalkeepers,Liverpool,31,9066495,9241027
Alphonse Areola,1.3134901043733258,0.4499567902109405,0.6608597999298755,-0.6526303044434503,Rising Star,Goalkeepers,West Ham United,31,7253196,7392822
Alphonso Davies,0.988172342582386,0.7018210801066687,0.5600048452276702,-0.4281674973547157,Rising Star,Defenders,Bayern Munich,23,11250000,11250000
Amadou Haidara,-1.0133264748784097,-0.0594097930023824,-0.0412185306263417,0.9721079442520679,Wage Trap,Midfielders,RB Leipzig,26,1000000,3800000
Amadou Onana,1.4189861186167576,1.1710352031865838,1.0270405045601283,-0.3919456140566293,Persistent Overvalued,Midfielders,Aston Villa,22,6044330,8624959
Amath,-0.3412890150374057,-0.5739230422846422,0.3537297698917108,0.6950187849291165,Wage Trap,Forwards,Valladolid,28,420000,720000
Amine Adli,-0.3291639033671103,-0.8064373469386688,0.4625210778608135,0.7916849812279239,Wage Trap,Midfielders,Leverkusen,24,1140000,3400000
Amine Harit,0.453460533503053,-0.0196909366546087,-0.0774955123483316,-0.5309560458513846,Rising Star,Midfielders,Marseille,27,3100000,3100000
Amir Rrahmani,-0.0152117663711681,-0.2154411431881833,-0.392925477438828,-0.3777137110676599,Other,Defenders,Napoli,30,3210000,3210000
Amos Pieper,0.1307649113528306,-0.049893670774411,-0.3990708435704313,-0.529835754923262,Rising Star,Defenders,Werder Bremen,26,750000,600000
Ander Barrenetxea,0.2180079910188634,-0.3775089023441715,0.3494278854964907,0.13141989447762728,Other,Midfielders,Real Sociedad,22,650000,1560000
Ander Guevara,-0.2791108073222208,0.0023755254289579,0.0092642400072016,0.28837504732942243,Other,Midfielders,Alavés,27,870000,900000
