Player,Team,Comp,Season,position_group,Age,Annual_Wages_EUR,efficiency_score,panel_efficiency,eff_difference
Aaron Cresswell,West Ham United,Premier League,2024-2025,Defenders,34,3080342,-0.2375426848719399,-0.0098334032502596,0.2277092816216802
Yan Couto,Girona,La Liga,2022-2023,Defenders,20,260000,0.019815220308331,0.238184835707788,0.218369615399457
Yan Couto,Girona,La Liga,2023-2024,Defenders,21,480000,0.1913483332704117,0.4097179486698687,0.218369615399457
Yan Couto,Dortmund,Bundesliga,2024-2025,Defenders,22,1140000,-0.5327054666418523,-0.3143358512423951,0.2183696153994571
Vladimír Coufal,West Ham United,Premier League,2022-2023,Defenders,29,2115516,-0.5672995553345537,0.1484642825091555,0.7157638378437092
Vladimír Coufal,West Ham United,Premier League,2023-2024,Defenders,30,2154309,-0.8143404149097666,-0.0985765770660573,0.7157638378437092
Vladimír Coufal,West Ham United,Premier League,2024-2025,Defenders,31,2156240,-0.5847321437170798,0.1310316941266294,0.7157638378437092
Logan Costa,Toulouse,Ligue 1,2022-2023,Defenders,21,290000,0.4275287519999082,0.1130939699066972,-0.3144347820932109
Logan Costa,Toulouse,Ligue 1,2023-2024,Defenders,22,450000,0.2013408121865136,-0.1130939699066973,-0.3144347820932109
Jaume Costa,Mallorca,La Liga,2022-2023,Defenders,34,330000,-0.9724638492108024,-0.1776484363445382,0.7948154128662642
Jaume Costa,Mallorca,La Liga,2023-2024,Defenders,35,420000,-0.6260249161951847,0.1687904966710794,0.7948154128662642
Danny da Costa,Mainz 05,Bundesliga,2023-2024,Defenders,30,960000,-0.3858513574942499,-0.0999921700963235,0.2858591873979264
Danny da Costa,Mainz 05,Bundesliga,2024-2025,Defenders,31,960000,-0.6471108347121444,-0.361251647314218,0.2858591873979264
Thierry Correia,Valencia,La Liga,2022-2023,Defenders,23,1840000,0.6304092298977757,0.186726945339205,-0.4436822845585706
Thierry Correia,Valencia,La Liga,2023-2024,Defenders,24,1840000,0.3535933916881681,-0.0900888928704025,-0.4436822845585706
Thierry Correia,Valencia,La Liga,2024-2025,Defenders,25,1840000,0.3470442320897682,-0.0966380524688024,-0.4436822845585706
Pierre Cornud,Saint-Étienne,Ligue 1,2024-2025,Defenders,27,450000,-0.2116954593962532,-0.0098727415502128,0.2018227178460403
Sébastien Corchia,Nantes,Ligue 1,2022-2023,Defenders,31,900000,0.1971509022003594,0.1941889250036279,-0.0029619771967315
Diego Coppola,Hellas Verona,Serie A,2022-2023,Defenders,18,460000,0.9727934393452085,0.4328319202499351,-0.5399615190952733
Diego Coppola,Hellas Verona,Serie A,2023-2024,Defenders,19,460000,0.5422468831148954,0.002285364019622,-0.5399615190952733
