player,from_team,to_team,from_league,to_league,season,prev_eff,arrival_eff,cross_league,selling_value_captured
Adrien Rabiot,Juventus,Marseille,Serie A,Ligue 1,2024-2025,0.4621314270509984,0.3000825670062106,True,0.1620488600447878
Adrien Tameze,Hellas Verona,Torino,Serie A,Serie A,2023-2024,-0.461822467432821,-0.2640229902574447,False,-0.19779947717537633
Adrià Pedrosa,Espanyol,Sevilla,La Liga,La Liga,2023-2024,0.3050987476380982,-0.6572270398571174,False,0.9623257874952156
Ainsley Maitland-Niles,Southampton,Lyon,Premier League,Ligue 1,2023-2024,0.2019047740620241,0.4435428073820819,True,-0.24163803332005782
Albert Guðmundsson,Genoa,Fiorentina,Serie A,Serie A,2024-2025,-0.2640313036093964,0.0367345317109553,False,-0.3007658353203517
Alberto Dossena,Cagliari,Como,Serie A,Serie A,2024-2025,-0.1446764909991795,1.0153351414551717,False,-1.1600116324543512
Alberto Moreno,Villarreal,Como,La Liga,Serie A,2024-2025,-0.5392021301206267,0.2492438673207377,True,-0.7884459974413643
Aleix García,Girona,Leverkusen,La Liga,Bundesliga,2024-2025,-0.101055728194316,0.3468267546767176,True,-0.4478824828710336
Aleksei Miranchuk,Torino,Atalanta,Serie A,Serie A,2023-2024,0.3816322273265911,0.1184560696914651,False,0.263176157635126
Alessandro Buongiorno,Torino,Napoli,Serie A,Serie A,2024-2025,0.3652565162818444,0.6220898823534622,False,-0.2568333660716178
Alessandro Zanoli,Sampdoria,Salernitana,Serie A,Serie A,2023-2024,0.5842661691509505,-0.1585374730943858,False,0.7428036422453363
Alessandro Zanoli,Salernitana,Genoa,Serie A,Serie A,2024-2025,-0.1585374730943858,-0.1368066028701875,False,-0.021730870224198284
Alessio Cragno,Monza,Sassuolo,Serie A,Serie A,2023-2024,1.0591005174293944,0.7511758438444502,False,0.30792467358494413
Alex Iwobi,Everton,Fulham,Premier League,Premier League,2024-2025,0.4566164141257296,0.0676872141623441,False,0.3889291999633855
Alex Král,Schalke 04,Union Berlin,Bundesliga,Bundesliga,2023-2024,0.3915488725152016,0.6146924296248546,False,-0.223143557109653
Alex Král,Union Berlin,Espanyol,Bundesliga,La Liga,2024-2025,0.6146924296248546,0.7771888398929931,True,-0.16249641026813855
Alex Sola,Real Sociedad,Getafe,La Liga,La Liga,2024-2025,-1.1036598203461487,0.1848498831447784,False,-1.2885097034909272
Alexander Nübel,Monaco,Stuttgart,Ligue 1,Bundesliga,2023-2024,0.9912756625530276,1.051738328084488,True,-0.06046266553146051
Alexander Schwolow,Schalke 04,Union Berlin,Bundesliga,Bundesliga,2023-2024,-0.4503829496351237,0.3824539081956022,False,-0.8328368578307259
Alexander Sørloth,Villarreal,Atlético Madrid,La Liga,La Liga,2024-2025,-0.1643605992658869,-0.1995619993083384,False,0.03520140004245151
Alexis Claude-Maurice,Nice,Augsburg,Ligue 1,Bundesliga,2024-2025,0.4191793258343494,-0.1837687339371996,True,0.6029480597715491
Alexis Mac Allister,Brighton,Liverpool,Premier League,Premier League,2023-2024,0.1584249485764779,0.5200155069354295,False,-0.3615905583589516
Alexis Saelemaekers,Milan,Bologna,Serie A,Serie A,2023-2024,-0.6236710752393364,-0.0444625367200952,False,-0.5792085385192411
Alexis Saelemaekers,Bologna,Milan,Serie A,Serie A,2024-2025,-0.0444625367200952,-0.6611829064228143,False,0.616720369702719
Alexis Saelemaekers,Milan,Roma,Serie A,Serie A,2024-2025,-0.6611829064228143,-1.012464270843866,False,0.35128136442105173
Alexis Sánchez,Marseille,Inter,Ligue 1,Serie A,2023-2024,0.0249267360401095,-0.4811148766176032,True,0.5060416126577127
Alexis Sánchez,Inter,Udinese,Serie A,Serie A,2024-2025,-0.4811148766176032,0.8143745951382648,False,-1.295489471755868
Alfonso Espino,Cádiz,Rayo Vallecano,La Liga,La Liga,2023-2024,-0.4397727220429956,0.0257183753129357,False,-0.4654910973559313
Alfred Duncan,Fiorentina,Venezia,Serie A,Serie A,2024-2025,-0.2251826556937732,0.6060054611604233,False,-0.8311881168541965
Alidu Seidu,Clermont Foot,Rennes,Ligue 1,Ligue 1,2024-2025,0.4246815906061219,0.3337826151817324,False,0.09089897542438946
Amadou Onana,Everton,Aston Villa,Premier League,Premier League,2024-2025,1.1710352031865838,1.0270405045601283,False,0.14399469862645553
Amath,Mallorca,Valladolid,La Liga,La Liga,2024-2025,-0.5739230422846422,0.3537297698917108,False,-0.927652812176353
Ameen Al-Dakhil,Burnley,Stuttgart,Premier League,Bundesliga,2024-2025,0.4596286223026684,0.928235549303821,True,-0.46860692700115264
